movie_id,actor_id,cast_id,char_name,char_gender,order
44833,1052162,43,Lieutenant Colonel Mick Canales,2,6
44833,184581,35,Cal Zapata,2,7
44833,88124,20,"Boatswain Mate Seaman Jimmy ""Ordy"" Ord",2,8
44833,205406,36,"Chief Petty Officer Walter ""The Beast"" Lynch",2,9
44833,98953,38,Sampson JOOD Strodell,2,10
135397,73457,10,Owen Grady,2,0
135397,18997,11,Claire Dearing,1,1
135397,76793,15,Simon Masrani,2,2
135397,7132,9,Vic Hoskins,2,3
135397,1108907,13,Zach Mitchell,2,4
135397,17181,14,Gray Mitchell,2,5
135397,543505,12,Lowery Cruthers,2,6
135397,78423,16,Barry,2,7
135397,14592,17,Henry Wu,2,8
135397,20750,18,Karen Mitchell,1,9
135397,591834,20,Vivian,1,10
37724,8784,1,James Bond,2,0
37724,5309,29,M,1,1
37724,3810,12,Silva,2,2
37724,5469,13,Gareth Mallory / M,2,3
37724,2038,15,Eve,1,4
37724,1030261,19,Sévérine,1,5
37724,3926,14,Kincade,0,6
37724,17064,20,Q,2,7
37724,139549,22,Bill Tanner,2,8
37724,11045,21,Patrice,2,9
37724,15737,17,Clair Dowar,1,10
558,2219,33,Peter Parker / Spider-Man,2,0
558,205,37,Mary Jane Watson,1,1
558,17051,38,Harry Osborn,2,2
558,658,28,Dr. Otto Octavius / Doctor Octopus,2,3
558,18998,35,May Parker,1,4
558,2517,20,Rosalie Octavius,1,5
558,18999,19,J. Jonah Jameson,2,6
558,19154,29,John Jameson,2,7
558,19152,21,Dr. Curt Connors,2,8
558,5293,30,Norman Osborn / Green Goblin,2,9
558,20645,26,Ursula,1,10
68721,3223,40,Tony Stark / Iron Man,2,0
68721,12052,6,"Virginia ""Pepper"" Potts",1,1
68721,1896,8,"Colonel James "" Rhodey"" Rhodes",2,2
68721,529,35,Aldrich Killian / The Mandarin,2,3
68721,15556,13,Maya Hansen,1,4
68721,15277,14,Happy Hogan,2,5
68721,2282,9,Trevor Slattery,2,6
68721,18473,16,Savin,2,7
68721,121953,34,Brandt,1,8
68721,6162,12,Jarvis (voice),2,9
68721,6573,15,President Ellis,2,10
12155,76070,7,Alice Kingsleigh,1,0
12155,85,13,The Mad Hatter,2,1
12155,1813,3,The White Queen,1,2
12155,1283,4,The Red Queen,1,3
12155,1064,6,The Knave of Hearts,2,4
12155,20982,11,Charles Kingsleigh,2,5
12155,30083,17,Helen Kingsleigh,1,6
12155,26209,14,Tweedledee / Tweedledum,2,7
12155,11855,56,Lady Ascot,1,8
12155,11276,18,Lord Ascot,2,9
12155,29237,53,Hamish Ascot,2,10
36668,6968,4,Logan / Wolverine,2,0
36668,4587,5,Ororo Munroe / Storm,1,1
36668,1327,6,Eric Lehnsherr / Magneto,2,2
36668,2387,7,Charles Xavier / Professor X,2,3
36668,10696,8,Jean Grey / Phoenix,1,4
36668,10690,9,Marie D'Ancanto / Rogue,1,5
36668,7090,10,Dr. Henry 'Hank' McCoy / Beast,2,6
36668,11023,13,Bobby Drake / Iceman,2,7
36668,11022,14,John Allerdyce / Pyro,2,8
36668,27578,16,"Katherine ""Kitty"" Pryde / Shadowcat",1,9
36668,11008,12,Raven Darkholme / Mystique,1,10
62211,7904,6,"Michael ""Mike"" Wazowski (voice)",2,0
62211,1230,5,"James P. ""Sulley"" Sullivan (voice)",2,1
62211,884,3,Randall Boggs (voice),2,2
62211,15735,10,Dean Hardscrabble (voice),1,3
62211,1271300,35,Young Mike (voice),0,4
62211,21198,27,Scott “Squishy” Squibbles (voice),2,5
62211,155649,26,Don Carlton (voice),2,6
62211,52601,20,Terri Perry (voice),2,7
62211,21290,19,Terry Perry (voice),0,8
62211,95101,16,Art (voice),2,9
62211,658,17,Professor Knight (voice),2,10
8373,10959,5,Sam Witwicky,2,0
8373,19537,6,Mikaela Banes,1,1
8373,19536,7,Captain Lennox,2,2
8373,11678,8,College Professor,2,3
8373,8169,9,USAF Tech Sergeant Epps,2,4
8373,1241,10,Agent Simmons,2,5
8373,14721,14,Ron Witwicky,0,6
8373,24305,15,Judy Witwicky,1,7
8373,72985,16,Leo Spitz,2,8
8373,103554,17,Alice,1,9
8373,12797,18,General Morshower,2,10
91314,13240,6,Cade Yeager,2,0
91314,2283,8,Joshua,2,1
91314,7090,17,Harold Attinger,2,2
91314,61186,7,Tessa Yeager,1,3
91314,1007683,11,Shane,2,4
91314,39389,13,Savoy,2,5
91314,3971,10,Darcy,1,6
91314,109432,12,Su Yueming,1,7
91314,51990,84,Lucas Flannery,2,8
91314,204100,121,Gill Wembley,2,9
91314,539,122,Chief of Staff,2,10
68728,17051,6,Oz,2,0
68728,18973,5,Theodora,1,1
68728,3293,4,Evanora,1,2
68728,1812,7,Annie / Glinda,1,3
68728,5367,8,Frank / Finley,2,4
68728,8854,9,Master Tinker,2,5
68728,125025,10,Girl in Wheelchair / China Girl,1,6
68728,19754,11,Knuck,2,7
68728,224723,12,Winkie General,2,8
68728,123725,13,May,1,9
68728,11357,14,Winkie Gate Keeper,2,10
102382,37625,3,Peter Parker / Spider-Man,2,0
102382,54693,2,Gwen Stacy,1,1
102382,134,6,Max Dillon / Electro,2,2
102382,122889,5,Harry Osborn / Green Goblin,2,3
102382,55152,32,Richard Parker,2,4
102382,6368,31,Mary Parker,1,5
102382,10132,10,Donald Menken,2,6
102382,13242,175,Aleksei Sytsevich / The Rhino (Uncredited),2,7
102382,35,22,Aunt May,1,8
102382,558928,34,Young Peter Parker,2,9
102382,72855,9,Felicia Hardy,1,10
20526,9828,44,Sam Flynn,2,0
20526,1229,37,Kevin Flynn / Clu,2,1
20526,59315,3,Quorra,1,2
20526,2547,39,Alan Bradley / Tron,2,3
20526,60033,25,Siren,1,4
20526,86268,28,Siren,1,5
20526,20403,30,Gem,1,6
20526,130108,36,Siren,1,7
20526,22063,29,Jarvis,2,8
20526,86269,32,Young Mrs. Flynn,0,9
20526,58371,33,Sobel,2,10
49013,887,4,Lightning McQueen (voice),2,0
49013,15897,12,Mater (voice),2,1
49013,3895,5,Finn McMissile (voice),2,2
49013,1246,6,Holley Shiftwell (voice),1,3
49013,1241,27,Francesco Bernoulli (voice),2,4
49013,1926,26,Sir Miles Axlerod (voice),2,5
49013,3491,30,Professor Z (voice),2,6
49013,3266,29,Grem (voice),2,7
49013,31514,40,Acer (voice),2,8
49013,11357,43,"Rod ""Torque"" Redline (voice)",2,9
49013,4252,11,Luigi (voice),2,10
44912,10859,6,Hal Jordan / Green Lantern,2,0
44912,59175,7,Carol Ferris,1,1
44912,133,8,Hector Hammond,2,2
44912,504,9,Senator Hammond,2,3
44912,2983,10,Sinestro,2,4
44912,7242,11,Abin Sur,2,5
44912,109942,12,Carol Ferris at 11,1,6
44912,4602,13,Martin Jordan,2,7
44912,27107,14,Jack Jordan,2,8
44912,147719,15,Jim Jordan,0,9
44912,147720,16,Jason Jordan,2,10
10193,31,6,Woody (voice),2,0
10193,12898,9,Buzz Lightyear (voice),2,1
10193,13726,17,Lotso (voice),2,2
10193,3234,8,Jessie the Yodeling Cowgirl (voice),1,3
10193,2232,7,Ken (voice),2,4
10193,2395,10,Stretch the Octopus (voice),1,5
10193,5149,11,Purple-haired doll (voice),1,6
10193,12900,16,Rex (voice),2,7
10193,7907,13,Hamm (voice),2,8
10193,7167,14,Mr. Potato Head (voice),2,9
10193,61964,15,Mrs. Potato Head (voice),1,10
534,3894,18,John Connor,2,0
534,65731,6,Marcus Wright,2,1
534,21028,3,Kyle Reese,2,2
534,56455,7,Blair Williams,1,3
534,18997,14,Kate Connor,1,4
534,1283,4,Serena,1,5
534,4238,5,Barnes,0,6
534,76542,8,Prototype T-800,2,7
534,11086,9,General Ashdown,2,8
534,13724,10,Virginia,1,9
534,76543,11,Morrison,2,10
168259,12835,17,Dominic Toretto,2,0
168259,8167,19,Brian O'Conner,2,1
168259,18918,18,Hobbs,2,2
168259,17647,20,Letty,1,3
168259,8169,28,Roman,2,4
168259,8171,31,Tej (as Chris 'Ludacris' Bridges),2,5
168259,22123,24,Mia,1,6
168259,938,25,Jakande,2,7
168259,57207,30,Kiet,2,8
168259,997887,21,Kara,0,9
168259,1251069,27,Ramsey,1,10
72190,287,4,Gerry Lane,2,0
72190,175826,6,Karen Lane,1,1
72190,1027850,14,Rachel Lane,1,2
72190,1186840,55,Constance Lane,1,3
72190,18473,7,Captain Speke,2,4
72190,78050,8,Andrew Fassbach,2,5
72190,7219,10,Navy Captain Mullenaro,2,6
72190,1180907,18,Segen,0,7
72190,119297,19,Jurgen Warmbrunn,2,8
72190,2607,21,Thierry Umutoni,0,9
72190,1180908,25,Tomas,0,10
127585,6968,9,Logan / Wolverine,2,0
127585,5530,4,Charles Xavier / Professor X (Young),2,1
127585,17288,5,Erik Lehnsherr / Magneto (Young),2,2
127585,72129,7,Raven Darkholme / Mystique,1,3
127585,4587,14,Ororo Munroe / Storm,1,4
127585,10690,42,Marie D'Ancanto / Rogue,1,5
127585,27578,11,"Katherine ""Kitty"" Pryde / Shadowcat",1,6
127585,22970,13,Bolivar Trask,2,7
127585,1327,6,Erik Lehnsherr / Magneto (Old),2,8
127585,2387,3,Charles Xavier / Professor X (Old),2,9
127585,3292,8,Hank McCoy / Beast,2,10
54138,62064,2,James T. Kirk,2,0
54138,17306,6,Spock,2,1
54138,8691,1,Nyota Uhura,1,2
54138,1372,17,Dr. Leonard 'Bones' McCoy,2,3
54138,11108,3,Montgomery 'Scotty' Scott,2,4
54138,68842,7,Hikaru Sulu,2,5
54138,71580,26,Khan Noonien Singh,2,6
54138,21028,5,Pavel Chekov,2,7
54138,21089,23,Christopher Pike,2,8
54138,27811,33,Alexander Marcus,2,9
54138,59860,27,Carol Marcus,1,10
81005,3292,7,Jack,2,0
81005,73357,15,Princess Isabelle,1,1
81005,3061,6,Elmont,2,2
81005,2283,8,Roderick,2,3
81005,6972,11,King Brahmwell,2,4
81005,1665,13,Crawe,2,5
81005,1125,12,Wicke,2,6
