movie_id,keyword_id
158852,40850
158852,156395
158852,173276
158852,214714
158852,214715
177572,380
177572,1701
177572,2276
177572,9748
177572,12392
177572,12446
177572,14544
177572,33353
177572,41509
177572,179430
177572,198423
177572,209714
177572,213104
177572,215235
82690,825
82690,3977
82690,6733
82690,10039
82690,10547
82690,11124
82690,155023
82690,158023
82690,162936
82690,179430
82690,179431
82690,185859
82690,185861
82690,185863
82690,185867
82690,185868
82690,185876
82690,185880
5255,1991
5255,5801
5255,6150
5255,9989
5255,9995
5255,33678
5255,34154
5255,41312
5255,41314
5255,48711
5255,207317
47933,12026
47933,14909
10191,334
10191,1318
10191,1395
10191,2041
10191,3752
10191,3799
10191,4613
10191,5331
10191,5774
10191,5895
10191,6054
10191,6253
10191,8044
10191,9109
10191,12554
10191,14643
10191,18543
10191,172784
10191,192913
296,83
296,310
296,312
296,679
296,1373
296,1381
296,2650
296,2651
296,2732
296,2733
296,2735
296,2736
296,4565
296,15106
118340,8828
118340,9831
118340,9882
118340,12405
118340,13014
118340,175428
118340,179430
118340,179431
118340,180547
157336,83
157336,310
157336,494
157336,641
157336,1432
157336,1963
157336,3417
157336,3801
157336,4337
157336,4380
157336,4565
157336,4776
157336,8056
157336,9831
157336,9882
157336,10084
157336,10235
157336,13127
157336,14544
157336,14626
157336,14760
157336,15300
157336,33479
157336,154846
157336,156039
157336,156395
157336,160331
157336,162630
157336,189098
157336,208757
157336,214349
27205,1014
27205,1566
27205,1930
27205,2116
27205,2117
27205,10051
27205,11436
27205,160137
315011,1299
315011,7671
315011,11100
315011,14796
315011,161791
315011,235525
49051,483
49051,603
49051,604
49051,606
49051,609
49051,611
49051,1262
49051,177912
49051,189092
49051,189093
49051,189094
49051,189098
49051,189099
49051,189102
49051,189103
49051,189108
49051,189114
49051,189115
49051,189119
49051,191739
9799,542
9799,830
9799,1568
9799,8574
9799,12670
9799,33885
9799,159953
9799,179430
9799,179431
4922,2913
4922,3588
4922,3739
4922,4262
4922,9935
4922,11612
49538,591
49538,1852
49538,1960
49538,8828
49538,9715
49538,9717
49538,10761
49538,12995
49538,18139
49538,181558
49538,208731
49538,208992
131634,2020
131634,2660
131634,4565
131634,157376
131634,209714
131634,223438
27022,616
27022,657
27022,1994
27022,2098
27022,2343
27022,3096
27022,3098
27022,4237
27022,4488
27022,4613
27022,8504
27022,9673
27022,10364
27022,10821
27022,12554
27022,179430
27022,193201
27022,222347
503,613
503,657
503,793
503,843
503,1872
503,1913
503,2283
503,2488
503,2580
503,2581
503,2583
503,3799
503,5600
503,9457
503,10685
503,155530
241259,818
241259,1507
241259,2011
241259,9663
241259,12552
241259,177895
241259,203699
241259,209714
810,502
810,1647
810,1674
810,2019
810,2041
810,2052
810,2580
810,3071
810,3799
810,4144
810,4152
810,4326
810,4375
810,4541
810,4988
810,5515
810,6093
810,6271
810,6285
810,10508
810,12392
810,12554
810,13001
810,13149
810,156702
810,179431
68735,282
68735,603
68735,606
68735,2343
68735,3713
68735,9717
68735,10821
68735,14946
68735,41645
68735,177912
68735,189113
68735,211674
68735,228295
68735,234213
87101,83
87101,310
87101,679
87101,1373
87101,2964
87101,4379
87101,4565
87101,9663
87101,161151
87101,179431
87101,209714
10140,818
10140,2343
10140,10842
10140,13084
10140,166930
10140,170362
10140,182768
10140,182772
10140,207372
676,428
676,1627
676,1668
676,1956
676,3203
676,3365
676,3366
676,3800
676,6091
676,6092
676,9673
676,155565
1858,2535
1858,4375
1858,9951
1858,10542
1858,10607
1858,14544
1858,179431
1858,188178
1966,347
1966,1160
1966,1200
1966,1241
1966,2857
1966,3072
1966,5127
1966,10180
1966,10198
1966,14704
675,530
675,616
675,1014
675,2343
675,2630
675,3650
675,3737
675,3872
675,3873
675,3884
675,4252
675,4959
675,5147
675,221387
674,2343
674,3737
674,3872
674,3873
674,3884
674,4238
674,4252
674,6271
674,10629
674,12380
674,13130
674,177912
674,188178
674,223438
8960,334
8960,567
8960,2038
8960,3691
8960,4663
8960,5608
8960,5920
8960,7464
8960,8872
8960,9715
8960,11794
8960,179431
6479,83
6479,4190
6479,4458
6479,4565
6479,5144
6479,6511
6479,6997
6479,188957
6479,188973
118,212
118,494
118,715
118,730
118,818
118,970
118,985
118,987
118,1158
118,10508
2062,90
2062,380
2062,996
2062,1261
2062,1650
2062,2161
2062,2246
2062,2405
2062,2872
2062,2982
2062,3640
2062,3910
2062,3914
2062,6074
2062,6148
2062,6808
2062,18035
2062,18293
2062,189359
272,486
272,779
272,849
272,853
272,1308
272,1568
272,1701
